Date,Description,Max Temp,Min Temp
2022-12-05,Partly cloudy throughout the day with early morning rain.,Partly cloudy throughout the day with early morning rain.,Partly cloudy throughout the day with early morning rain.
2022-12-06,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.
2022-12-07,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.
2022-12-08,Becoming cloudy in the afternoon.,Becoming cloudy in the afternoon.,Becoming cloudy in the afternoon.
2022-12-09,Becoming cloudy in the afternoon.,Becoming cloudy in the afternoon.,Becoming cloudy in the afternoon.
2022-12-10,Partly cloudy throughout the day with a chance of rain.,Partly cloudy throughout the day with a chance of rain.,Partly cloudy throughout the day with a chance of rain.
2022-12-11,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.
2022-12-12,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.
2022-12-13,Clearing in the afternoon.,Clearing in the afternoon.,Clearing in the afternoon.
2022-12-14,Becoming cloudy in the afternoon.,Becoming cloudy in the afternoon.,Becoming cloudy in the afternoon.
2022-12-15,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.
2022-12-16,Clear conditions throughout the day.,Clear conditions throughout the day.,Clear conditions throughout the day.
2022-12-17,Clear conditions throughout the day.,Clear conditions throughout the day.,Clear conditions throughout the day.
2022-12-18,Clear conditions throughout the day.,Clear conditions throughout the day.,Clear conditions throughout the day.
2022-12-19,Clear conditions throughout the day.,Clear conditions throughout the day.,Clear conditions throughout the day.
